client,desc,combined,service
Verizon Wireless,Birmingham BAS Verification,Verizon Wireless Birmingham BAS Verification,MSI
Verizon Wireless,Birmingham BDFB - Structural Design,Verizon Wireless Birmingham BDFB - Structural Design,Design
Verizon Wireless,Birmingham BDFB DC Design,Verizon Wireless Birmingham BDFB DC Design,Design
Verizon Wireless,Birmingham DC Plant & Facility Upgrade Cx,Verizon Wireless Birmingham DC Plant & Facility Upgrade Cx,Commissioning
Verizon Wireless,Birmingham MSC SDN,Verizon Wireless Birmingham MSC SDN,Design
Verizon Wireless,"Bloomington, MN - 7400 amp hardening design","Verizon Wireless Bloomington, MN - 7400 amp hardening design",Design
Verizon Wireless,Boardman Transport Hub CRAN,Verizon Wireless Boardman Transport Hub CRAN,Design
Verizon Wireless,Boise Covered Shelter Expansion,Verizon Wireless Boise Covered Shelter Expansion,Design
Verizon Wireless,Boise MSC Kitchen Redesign,Verizon Wireless Boise MSC Kitchen Redesign,Design
Verizon Wireless,Boise MSC NSTD397 Compliance Audit,Verizon Wireless Boise MSC NSTD397 Compliance Audit,Audit
Verizon Wireless,Boise NSTD386 Generator Compliance,Verizon Wireless Boise NSTD386 Generator Compliance,Design
Verizon Wireless,Branchburg 131-141 SDN Deployment,Verizon Wireless Branchburg 131-141 SDN Deployment,Design
Verizon Wireless,Branchburg BAS Audit,Verizon Wireless Branchburg BAS Audit,MSI
Verizon Wireless,Branchburg Master Plan,Verizon Wireless Branchburg Master Plan,Design
Verizon Wireless,Branchburg MSI,Verizon Wireless Branchburg MSI,MSI
Verizon Wireless,Branchburg MSI,Verizon Wireless Branchburg MSI,MSI
Verizon Wireless,Branchburg NEC1A UPS Replacement Cx,Verizon Wireless Branchburg NEC1A UPS Replacement Cx,Commissioning
Verizon Wireless,Branchburg NOC Alarming,Verizon Wireless Branchburg NOC Alarming,MSI
Verizon Wireless,Bridgeville 1 & 2 Power Operational Plan,Verizon Wireless Bridgeville 1 & 2 Power Operational Plan,Design
Verizon Wireless,Bridgeville HVAC Replacement,Verizon Wireless Bridgeville HVAC Replacement,Design
Verizon Wireless,Bridgeville Renovations Design,Verizon Wireless Bridgeville Renovations Design,Design
Verizon Wireless,Buffalo MSC FM-200 Upgrade - BAS System,Verizon Wireless Buffalo MSC FM-200 Upgrade - BAS System,MSI
Verizon Wireless,Cell Site Monitoring - EOS Project,Verizon Wireless Cell Site Monitoring - EOS Project,MSI
Verizon Wireless,CH A&E Services CRAN Medium,Verizon Wireless CH A&E Services CRAN Medium,Design
Verizon Wireless,Chandler - RTU-1 MSI Services,Verizon Wireless Chandler - RTU-1 MSI Services,MSI
Verizon Wireless,"Chandler, IN Audit","Verizon Wireless Chandler, IN Audit",Audit
Verizon Wireless,Chantilly Master Plan,Verizon Wireless Chantilly Master Plan,Design
Verizon Wireless,Chantilly MSI,Verizon Wireless Chantilly MSI,MSI
Verizon Wireless,Chantilly VA - DC PP Design,Verizon Wireless Chantilly VA - DC PP Design,Design
Verizon Wireless,Charleston - MEP FP Demo / Drawings (JMN),Verizon Wireless Charleston - MEP FP Demo / Drawings (JMN),Design
Verizon Wireless,Charleston (2 sites) CRAN A/E Services -REBID,Verizon Wireless Charleston (2 sites) CRAN A/E Services -REBID,Design
Verizon Wireless,"Charleston, SC MTSO CRAN Survey","Verizon Wireless Charleston, SC MTSO CRAN Survey",Audit
Verizon Wireless,Charlotte Elec Service / UPS Upgrade CxA,Verizon Wireless Charlotte Elec Service / UPS Upgrade CxA,Commissioning
Verizon Wireless,Charlotte MSI,Verizon Wireless Charlotte MSI,MSI
Verizon Wireless,Charlotte RNC Network Area Expansion,Verizon Wireless Charlotte RNC Network Area Expansion,Design
Verizon Wireless,Chicago (Hickory Hills) Medium HUB A&E Services CRAN,Verizon Wireless Chicago (Hickory Hills) Medium HUB A&E Services CRAN,Design
Verizon Wireless,Chicago CRANs - Medium HUB,Verizon Wireless Chicago CRANs - Medium HUB,Design
Verizon Wireless,Chicago Medium HUB A&E Services - Batch 3 CRAN,Verizon Wireless Chicago Medium HUB A&E Services - Batch 3 CRAN,Audit
Verizon Wireless,Chicago Medium HUB A&E Services - Batch 4 CRAN,Verizon Wireless Chicago Medium HUB A&E Services - Batch 4 CRAN,Audit
Verizon Wireless,Chicago Medium HUB A&E Services - Batch 5 CRAN,Verizon Wireless Chicago Medium HUB A&E Services - Batch 5 CRAN,Audit
Verizon Wireless,Chicago Medium HUB A&E Services - Batch 6 CRAN,Verizon Wireless Chicago Medium HUB A&E Services - Batch 6 CRAN,Audit
Verizon Wireless,Cincinnati,Verizon Wireless Cincinnati,Design
Verizon Wireless,Cincinnati MTSO CRAN,Verizon Wireless Cincinnati MTSO CRAN,Design
Verizon Wireless,Cleveland South CRAN,Verizon Wireless Cleveland South CRAN,Design
Verizon Wireless,"Clinton MSC (Englewood, CO) Inverter Replacement A&E","Verizon Wireless Clinton MSC (Englewood, CO) Inverter Replacement A&E",Design
Verizon Wireless,Clinton Twp CRAN,Verizon Wireless Clinton Twp CRAN,Design
Verizon Wireless,Colfax – CRAN Turnkey Services,Verizon Wireless Colfax – CRAN Turnkey Services,Design
Verizon Wireless,COLORADO - CRAN Turnkey Services,Verizon Wireless COLORADO - CRAN Turnkey Services,Design
Verizon Wireless,Columbia MSC ATS Replacement,Verizon Wireless Columbia MSC ATS Replacement,Design
Verizon Wireless,"Columbia, SC MSTO CRAN Survey","Verizon Wireless Columbia, SC MSTO CRAN Survey",Audit
Verizon Wireless,Columbus OH MSI,Verizon Wireless Columbus OH MSI,MSI
Verizon Wireless,Columbus Power Operational Procedure ,Verizon Wireless Columbus Power Operational Procedure ,Design
Verizon Wireless,Commerical Real Estate Opportunities,Verizon Wireless Commerical Real Estate Opportunities,Design
Verizon Wireless,"Copperfield - Telco Room HVAC - BAS (for XEC, Inc)","Verizon Wireless Copperfield - Telco Room HVAC - BAS (for XEC, Inc)",MSI
Verizon Wireless,Copperfield Expansion Design,Verizon Wireless Copperfield Expansion Design,Design
Verizon Wireless,Copperfield MSC - Network Room HVAC - Design and Cx,Verizon Wireless Copperfield MSC - Network Room HVAC - Design and Cx,Design
Verizon Wireless,Copperfield MSI,Verizon Wireless Copperfield MSI,MSI
Verizon Wireless,Copperfield MSI - CHANGE ORDER - C09,Verizon Wireless Copperfield MSI - CHANGE ORDER - C09,MSI
Verizon Wireless,Copperfield MSI - CHANGE ORDER - COR 01 - 08,Verizon Wireless Copperfield MSI - CHANGE ORDER - COR 01 - 08,MSI
Verizon Wireless,Copperfield MSI - CHANGE ORDER - COR2,Verizon Wireless Copperfield MSI - CHANGE ORDER - COR2,MSI
Verizon Wireless,Copperfield MSI - CHANGE ORDER - COR6,Verizon Wireless Copperfield MSI - CHANGE ORDER - COR6,MSI
Verizon Wireless,Copperfield MSI - CHANGE ORDER - gen card replacement and test - CO10,Verizon Wireless Copperfield MSI - CHANGE ORDER - gen card replacement and test - CO10,MSI
Verizon Wireless,Copperfield Telco RM 109 HVAC Modification Design,Verizon Wireless Copperfield Telco RM 109 HVAC Modification Design,Design
Verizon Wireless,COSP AHU Fan Wall Cx Services,Verizon Wireless COSP AHU Fan Wall Cx Services,Commissioning
Verizon Wireless,COSP Elevator Modernization Cx Services,Verizon Wireless COSP Elevator Modernization Cx Services,Commissioning
Verizon Wireless,Covington Generator Replacement,Verizon Wireless Covington Generator Replacement,Design
Verizon Wireless,Covington Generator Replacement - Self Cx (AWARD in 2019),Verizon Wireless Covington Generator Replacement - Self Cx (AWARD in 2019),Cx
Verizon Wireless,Covington Generator Replacement COR #1,Verizon Wireless Covington Generator Replacement COR #1,Design
Verizon Wireless,Covington Generator Replacement COR #2,Verizon Wireless Covington Generator Replacement COR #2,Design
Verizon Wireless,CP&G MTSO - Great Lakes,Verizon Wireless CP&G MTSO - Great Lakes,Design
Verizon Wireless,CRAN A&E - Charlotte & Raleigh Junction,Verizon Wireless CRAN A&E - Charlotte & Raleigh Junction,Design
Verizon Wireless,CRAN A&E - Greensboro Market Site,Verizon Wireless CRAN A&E - Greensboro Market Site,Design
Verizon Wireless,CRAN A&E - Waxhaw NC,Verizon Wireless CRAN A&E - Waxhaw NC,Audit
Verizon Wireless,CRAN A&E (Charlotte & Raleigh Junction),Verizon Wireless CRAN A&E (Charlotte & Raleigh Junction),Design
Verizon Wireless,CRAN A&E 2017,Verizon Wireless CRAN A&E 2017,Design
Verizon Wireless,CRAN A&E Las Vegas - Flamingo and Durango,Verizon Wireless CRAN A&E Las Vegas - Flamingo and Durango,Design
Verizon Wireless,CRAN MACRO to CRAN Hub A&E Services,Verizon Wireless CRAN MACRO to CRAN Hub A&E Services,Design
Verizon Wireless,CRAN Medium Hub Shelter Equipment Design,Verizon Wireless CRAN Medium Hub Shelter Equipment Design,Design
Verizon Wireless,CRAN Template RFP Development,Verizon Wireless CRAN Template RFP Development,Design
Verizon Wireless,CT New Berlin HVAC Design,Verizon Wireless CT New Berlin HVAC Design,Design
Verizon Wireless,CTX CRAN - Redesign - Bandera & 410,Verizon Wireless CTX CRAN - Redesign - Bandera & 410,Design
Verizon Wireless,CTX CRAN - Redesign - KBER,Verizon Wireless CTX CRAN - Redesign - KBER,Design
Verizon Wireless,CTX CRAN - Redesign - Marie,Verizon Wireless CTX CRAN - Redesign - Marie,Design
Verizon Wireless,CTX CRAN (Batch 12),Verizon Wireless CTX CRAN (Batch 12),Design
Verizon Wireless,CTX CRAN Hub - A&E,Verizon Wireless CTX CRAN Hub - A&E,Design
Verizon Wireless,CTX CRAN Hub - A&E - Batch 14 - Group Two,Verizon Wireless CTX CRAN Hub - A&E - Batch 14 - Group Two,Audit
Verizon Wireless,CTX CRAN Hub - A&E (Batch 10),Verizon Wireless CTX CRAN Hub - A&E (Batch 10),Design
Verizon Wireless,CTX CRAN HUB - A&E Survey + Plan Cell ,Verizon Wireless CTX CRAN HUB - A&E Survey + Plan Cell ,Design
Verizon Wireless,CTX CRAN Hub (Batch 11) - A&E,Verizon Wireless CTX CRAN Hub (Batch 11) - A&E,Design
Verizon Wireless,CTX CRAN Hub A&E (Batch 12),Verizon Wireless CTX CRAN Hub A&E (Batch 12),Design
Verizon Wireless,CTX CRAN HUB A&E (Batch 4),Verizon Wireless CTX CRAN HUB A&E (Batch 4),Design
Verizon Wireless,CTX CRAN HUB A&E (Batch 5),Verizon Wireless CTX CRAN HUB A&E (Batch 5),Design
Verizon Wireless,CTX CRAN HUB A&E (Batch 6),Verizon Wireless CTX CRAN HUB A&E (Batch 6),Design
Verizon Wireless,CTX CRAN HUB A&E (Batch 7),Verizon Wireless CTX CRAN HUB A&E (Batch 7),Design
Verizon Wireless,CTX CRAN HUB A&E (Batch 8),Verizon Wireless CTX CRAN HUB A&E (Batch 8),Design
Verizon Wireless,CTX CRAN HUB A&E (Batch 9),Verizon Wireless CTX CRAN HUB A&E (Batch 9),Design
Verizon Wireless,CTX Region CRAN Hub A&E Work,Verizon Wireless CTX Region CRAN Hub A&E Work,Design
Verizon Wireless,CxA - 51 Imclone ADMIN ATS ,Verizon Wireless CxA - 51 Imclone ADMIN ATS ,Commissioning
Verizon Wireless,CxA - Bedminster NNO,Verizon Wireless CxA - Bedminster NNO,Commissioning
Verizon Wireless,CxA - COSP Cold Aisle Containment,Verizon Wireless CxA - COSP Cold Aisle Containment,Commissioning
Verizon Wireless,"CxA  Garden City, GA","Verizon Wireless CxA  Garden City, GA",Commissioning
Verizon Wireless,CxA - HVAC Optimization Golden Valley ,Verizon Wireless CxA - HVAC Optimization Golden Valley ,Commissioning
Verizon Wireless,CxA - HVAC Optimization Owatonna,Verizon Wireless CxA - HVAC Optimization Owatonna,Commissioning
Verizon Wireless,CxA - HVAC Optimization Sioux Falls,Verizon Wireless CxA - HVAC Optimization Sioux Falls,Commissioning
Verizon Wireless,CxA - Las Vegas 2nd Power Plant and Network Room,Verizon Wireless CxA - Las Vegas 2nd Power Plant and Network Room,Commissioning
Verizon Wireless,CxA - RCK Electrical Capacity Expansion ,Verizon Wireless CxA - RCK Electrical Capacity Expansion ,Commissioning
Verizon Wireless,"CxA - Rocklin, CA - NEC Chiller Plant Optimization ","Verizon Wireless CxA - Rocklin, CA - NEC Chiller Plant Optimization ",Commissioning
Verizon Wireless,CxA - Wallingford HVAC Optimization,Verizon Wireless CxA - Wallingford HVAC Optimization,Commissioning
Verizon Wireless,CxA 51 Imclone Kyoto 2,Verizon Wireless CxA 51 Imclone Kyoto 2,Commissioning
Verizon Wireless,CxA 51 Imclone New Cooling Tech CxA,Verizon Wireless CxA 51 Imclone New Cooling Tech CxA,Commissioning
Verizon Wireless,CxA 8th Street CRAN - ATL,Verizon Wireless CxA 8th Street CRAN - ATL,Commissioning
Verizon Wireless,CxA 8th Street CRAN - ATL - Additional Cx,Verizon Wireless CxA 8th Street CRAN - ATL - Additional Cx,Commissioning
Verizon Wireless,CxA Admin UPS Replacement 145 Chubb,Verizon Wireless CxA Admin UPS Replacement 145 Chubb,Commissioning
Verizon Wireless,CxA Albuquerque BAS Commissioning,Verizon Wireless CxA Albuquerque BAS Commissioning,Commissioning
Verizon Wireless,CxA Alpharetta,Verizon Wireless CxA Alpharetta,Commissioning
Verizon Wireless,CxA Alpharetta - 480V,Verizon Wireless CxA Alpharetta - 480V,Commissioning
Verizon Wireless,CxA Alpharetta - BAS,Verizon Wireless CxA Alpharetta - BAS,Commissioning
Verizon Wireless,CxA Alpharetta CRAC 9 Unit Cx,Verizon Wireless CxA Alpharetta CRAC 9 Unit Cx,Commissioning
Verizon Wireless,CxA Annapolis Junction (A-J),Verizon Wireless CxA Annapolis Junction (A-J),Commissioning
Verizon Wireless,CxA Aurora,Verizon Wireless CxA Aurora,Commissioning
Verizon Wireless,CxA Azusa CA 2n Generator NEC CX,Verizon Wireless CxA Azusa CA 2n Generator NEC CX,Commissioning
Verizon Wireless,CxA Baton Rouge Building Expansion ,Verizon Wireless CxA Baton Rouge Building Expansion ,Commissioning
Verizon Wireless,CxA Billerica Outdoor Generator,Verizon Wireless CxA Billerica Outdoor Generator,Commissioning
Verizon Wireless,CxA Bloomington 7400 AMP Hardening,Verizon Wireless CxA Bloomington 7400 AMP Hardening,Commissioning
Verizon Wireless,CxA Branchburg Chiller Separation,Verizon Wireless CxA Branchburg Chiller Separation,Commissioning
Verizon Wireless,CxA Branchburg CRAC Replacement Ph 2 ,Verizon Wireless CxA Branchburg CRAC Replacement Ph 2 ,Commissioning
Verizon Wireless,CxA Branchburg VOLTE Bunker,Verizon Wireless CxA Branchburg VOLTE Bunker,Commissioning
Verizon Wireless,CxA Bridgeville 2 Sw Room Expansion ,Verizon Wireless CxA Bridgeville 2 Sw Room Expansion ,Commissioning
Verizon Wireless,CxA Chantilly 4 SAP,Verizon Wireless CxA Chantilly 4 SAP,Commissioning
Verizon Wireless,CxA Charlotte Gen Addition,Verizon Wireless CxA Charlotte Gen Addition,Commissioning
Verizon Wireless,CxA Charlotte switch 5 Cx,Verizon Wireless CxA Charlotte switch 5 Cx,Commissioning
Verizon Wireless,CxA Chubb Way Chiller Optimization ,Verizon Wireless CxA Chubb Way Chiller Optimization ,Commissioning
Verizon Wireless,CxA CLT Telco CRAC,Verizon Wireless CxA CLT Telco CRAC,Commissioning
Verizon Wireless,CxA Colorado Springs - Chiller Plant,Verizon Wireless CxA Colorado Springs - Chiller Plant,Commissioning
Verizon Wireless,CxA Colorado Springs - Transport Room HVAC,Verizon Wireless CxA Colorado Springs - Transport Room HVAC,Commissioning
Verizon Wireless,CxA Colorado Springs POP Rectifier ,Verizon Wireless CxA Colorado Springs POP Rectifier ,Commissioning
Verizon Wireless,CxA COSP Sand Filter and Sweeper,Verizon Wireless CxA COSP Sand Filter and Sweeper,Commissioning
Verizon Wireless,CxA Duluth - CRAC Units,Verizon Wireless CxA Duluth - CRAC Units,Commissioning
Verizon Wireless,CxA East Syracuse SDN,Verizon Wireless CxA East Syracuse SDN,Commissioning
Verizon Wireless,"CxA Evansville, IN RTU & VAV ","Verizon Wireless CxA Evansville, IN RTU & VAV ",Commissioning
Verizon Wireless,"CxA Hilliard, OH NEC","Verizon Wireless CxA Hilliard, OH NEC",Commissioning
Verizon Wireless,CxA Hooksett BAS,Verizon Wireless CxA Hooksett BAS,Commissioning
Verizon Wireless,CxA Jacksonville,Verizon Wireless CxA Jacksonville,Commissioning
Verizon Wireless,CxA Little Rock BAS / Commissioning,Verizon Wireless CxA Little Rock BAS / Commissioning,Commissioning
Verizon Wireless,CxA Macon - 480V,Verizon Wireless CxA Macon - 480V,Commissioning
Verizon Wireless,CxA Macon - CRAC Units,Verizon Wireless CxA Macon - CRAC Units,Commissioning
Verizon Wireless,CxA Miami West Switch B ,Verizon Wireless CxA Miami West Switch B ,Commissioning
Verizon Wireless,CxA Mineola Generator ,Verizon Wireless CxA Mineola Generator ,Commissioning
Verizon Wireless,CxA Nashville Cx,Verizon Wireless CxA Nashville Cx,Commissioning
Verizon Wireless,CxA Nashville-Expansion 401 commisioning,Verizon Wireless CxA Nashville-Expansion 401 commisioning,Commissioning
Verizon Wireless,CxA New Berlin Expansion,Verizon Wireless CxA New Berlin Expansion,Commissioning
Verizon Wireless,CxA Orlando MSC Switch Room Mod,Verizon Wireless CxA Orlando MSC Switch Room Mod,Commissioning
Verizon Wireless,CxA Pleasanton ,Verizon Wireless CxA Pleasanton ,Commissioning
Verizon Wireless,CxA Plymouth Meeting,Verizon Wireless CxA Plymouth Meeting,Commissioning
Verizon Wireless,CxA Roanoke,Verizon Wireless CxA Roanoke,Commissioning
Verizon Wireless,CxA Rochester,Verizon Wireless CxA Rochester,Commissioning
Verizon Wireless,CxA Rocklin,Verizon Wireless CxA Rocklin,Commissioning
Verizon Wireless,CxA Rocklin 2 Chiller OPZ Upgrade,Verizon Wireless CxA Rocklin 2 Chiller OPZ Upgrade,Commissioning
Verizon Wireless,CxA Rocklin PGB,Verizon Wireless CxA Rocklin PGB,Commissioning
Verizon Wireless,CxA Rocklin UPS - CxA,Verizon Wireless CxA Rocklin UPS - CxA,Commissioning
Verizon Wireless,CxA Southlake Chiller,Verizon Wireless CxA Southlake Chiller,Commissioning
Verizon Wireless,CxA Southlake Cooling Tower Replacement,Verizon Wireless CxA Southlake Cooling Tower Replacement,Commissioning
Verizon Wireless,CxA Southlake CRAC Control Project,Verizon Wireless CxA Southlake CRAC Control Project,Commissioning
Verizon Wireless,CxA Southlake CRAC Replacement,Verizon Wireless CxA Southlake CRAC Replacement,Commissioning
Verizon Wireless,CxA Southlake NEC 2-D Power Conversion,Verizon Wireless CxA Southlake NEC 2-D Power Conversion,Commissioning
Verizon Wireless,CxA Southlake New Cooling Technology ,Verizon Wireless CxA Southlake New Cooling Technology ,Commissioning
Verizon Wireless,CxA Southlake PGB's,Verizon Wireless CxA Southlake PGB's,Commissioning
Verizon Wireless,CxA Taunton Generator,Verizon Wireless CxA Taunton Generator,Commissioning
Verizon Wireless,CxA Wall NJ BAS Replacement,Verizon Wireless CxA Wall NJ BAS Replacement,Commissioning
Verizon Wireless,CxA Wall Township,Verizon Wireless CxA Wall Township,Commissioning
Verizon Wireless,CxA West Omaha Expansion,Verizon Wireless CxA West Omaha Expansion,Commissioning
Verizon Wireless,CxA West Roxbury Generator Cx,Verizon Wireless CxA West Roxbury Generator Cx,Commissioning
Verizon Wireless,CxA Wilmington,Verizon Wireless CxA Wilmington,Commissioning
Verizon Wireless,CxA Woodlawn MSI,Verizon Wireless CxA Woodlawn MSI,Commissioning
Verizon Wireless,"DC Audit - Bloomington, Lenexa, St. Louis","Verizon Wireless DC Audit - Bloomington, Lenexa, St. Louis",Audit
Verizon Wireless,DCIM,Verizon Wireless DCIM,MSI
Verizon Wireless,Denver Boulder Square Turnkey CRAN,Verizon Wireless Denver Boulder Square Turnkey CRAN,Design
Verizon Wireless,Des Moines Condenser and Water Retention,Verizon Wireless Des Moines Condenser and Water Retention,Design
Verizon Wireless,Design - Wallingford CT Fuel Tank Roof,Verizon Wireless Design - Wallingford CT Fuel Tank Roof,Design
Verizon Wireless,Design - Wallingford MSC Electrical Equipment Relocation,Verizon Wireless Design - Wallingford MSC Electrical Equipment Relocation,Design
Verizon Wireless,DFW Expansion Design,Verizon Wireless DFW Expansion Design,Design
Verizon Wireless,Duff CRAN Medium Hub A&E Services,Verizon Wireless Duff CRAN Medium Hub A&E Services,Design
Verizon Wireless,Duff Dr Aisle Cont. JACE upgrades (COR1),Verizon Wireless Duff Dr Aisle Cont. JACE upgrades (COR1),MSI
Verizon Wireless,Duff Dr Aisle Cont. Refrigerant Monitoring (COR3),Verizon Wireless Duff Dr Aisle Cont. Refrigerant Monitoring (COR3),MSI
Verizon Wireless,Duff Dr Aisle Cont. Sensor Solution (COR2),Verizon Wireless Duff Dr Aisle Cont. Sensor Solution (COR2),MSI
Verizon Wireless,"Duff Drive (Cincinnati, OH) Cold Aisle Containment System ","Verizon Wireless Duff Drive (Cincinnati, OH) Cold Aisle Containment System ",Design
Verizon Wireless,Duluth 1 Fiber Installation,Verizon Wireless Duluth 1 Fiber Installation,Design
Verizon Wireless,Duluth MSI,Verizon Wireless Duluth MSI,MSI
Verizon Wireless,ECM Collaboration Portal,Verizon Wireless ECM Collaboration Portal,Audit
Verizon Wireless,"Elgin, IL Audit ","Verizon Wireless Elgin, IL Audit ",Audit
Verizon Wireless,"Elgin, IL BAS","Verizon Wireless Elgin, IL BAS",MSI
Verizon Wireless,"Elgin, IL MSI Support","Verizon Wireless Elgin, IL MSI Support",MSI
Verizon Wireless,ELP BAS Upgrade,Verizon Wireless ELP BAS Upgrade,MSI
Verizon Wireless,ELP Remaining CRAN A&E ,Verizon Wireless ELP Remaining CRAN A&E ,Design
Verizon Wireless,"ELP, LSC CRAN A&E ","Verizon Wireless ELP, LSC CRAN A&E ",Design
Verizon Wireless,Energy Management Program - Nationwide,Verizon Wireless Energy Management Program - Nationwide,Audit
Verizon Wireless,Eugene Fire Suppression System A&E ,Verizon Wireless Eugene Fire Suppression System A&E ,Design
Verizon Wireless,Eugene OR NDIR386 Upgrades A&E and Cx,Verizon Wireless Eugene OR NDIR386 Upgrades A&E and Cx,Design
Verizon Wireless,Eugene Parking Lot and Roof Ladder Design,Verizon Wireless Eugene Parking Lot and Roof Ladder Design,Design
Verizon Wireless,Euless TX MSI (DFW),Verizon Wireless Euless TX MSI (DFW),MSI
Verizon Wireless,Evansville MSC Inverter Upgrade,Verizon Wireless Evansville MSC Inverter Upgrade,Design
Verizon Wireless,"FAR TOO LATE HUB A&E Design - Fargo, ND CRAN","Verizon Wireless FAR TOO LATE HUB A&E Design - Fargo, ND CRAN",Design
Verizon Wireless,Farmingdale SAP - 5E Conversion Design,Verizon Wireless Farmingdale SAP - 5E Conversion Design,Design
Verizon Wireless,Galveston TX CRAN Hub A&E Work,Verizon Wireless Galveston TX CRAN Hub A&E Work,Design
Verizon Wireless,Garfield Heights MSI - controls trouble-shooting,Verizon Wireless Garfield Heights MSI - controls trouble-shooting,MSI
Verizon Wireless,GN CRAN Medium Hub Design,Verizon Wireless GN CRAN Medium Hub Design,Design
Verizon Wireless,Goodes Bridge MSC Design Sprill Cont.,Verizon Wireless Goodes Bridge MSC Design Sprill Cont.,Design
Verizon Wireless,"Greensboro, NC MTSO CRAN Survey","Verizon Wireless Greensboro, NC MTSO CRAN Survey",Audit
Verizon Wireless,"Greenville, SC MTSO CRAN Survey","Verizon Wireless Greenville, SC MTSO CRAN Survey",Audit
Verizon Wireless,Greg S. Johnson - CA Opps,Verizon Wireless Greg S. Johnson - CA Opps,Design
Verizon Wireless,Guion MSC Inverter Upgrade,Verizon Wireless Guion MSC Inverter Upgrade,Design
Verizon Wireless,"Guion Road - Indy, IN - NSTD401 Cx","Verizon Wireless Guion Road - Indy, IN - NSTD401 Cx",Cx
Verizon Wireless,Guion Road NDIR385 A&E,Verizon Wireless Guion Road NDIR385 A&E,Energy Management
Verizon Wireless,"Guion, IN BAS","Verizon Wireless Guion, IN BAS",MSI
Verizon Wireless,Helena MSC Conference/Kitchen Reconfigure,Verizon Wireless Helena MSC Conference/Kitchen Reconfigure,Design
Verizon Wireless,Helena MSC COW / COLT,Verizon Wireless Helena MSC COW / COLT,Design
Verizon Wireless,Helena MSC Front Office Plenum Redesign,Verizon Wireless Helena MSC Front Office Plenum Redesign,Design
Verizon Wireless,"Helena, MT MSC - Plenum Engineering / Redesign","Verizon Wireless Helena, MT MSC - Plenum Engineering / Redesign",Design
Verizon Wireless,"Hickory Hills, IL MSC Energy Audit","Verizon Wireless Hickory Hills, IL MSC Energy Audit",Audit
Verizon Wireless,Hillsboro AHU-7 VFD Addition A&E ,Verizon Wireless Hillsboro AHU-7 VFD Addition A&E ,Design
Verizon Wireless,Hillsboro AHU-7 VFD Addition MSI ,Verizon Wireless Hillsboro AHU-7 VFD Addition MSI ,MSI
Verizon Wireless,Hillsboro BAS,Verizon Wireless Hillsboro BAS,MSI
Verizon Wireless,Hillsboro DC Plant Distro Bay Expansions,Verizon Wireless Hillsboro DC Plant Distro Bay Expansions,Design
Verizon Wireless,Hillsboro Energy Audit,Verizon Wireless Hillsboro Energy Audit,Audit
Verizon Wireless,Hillsboro MovinCool Outlets and Emergency Invitation,Verizon Wireless Hillsboro MovinCool Outlets and Emergency Invitation,Design
Verizon Wireless,Hillsboro Temp Adjustment and Air Balance,Verizon Wireless Hillsboro Temp Adjustment and Air Balance,MSI
Verizon Wireless,"Hillsborough, OR - Design","Verizon Wireless Hillsborough, OR - Design",Design
Verizon Wireless,Hooksett Audit,Verizon Wireless Hooksett Audit,Audit
Verizon Wireless,Hooksett ISO Gear Redesign RFP Development,Verizon Wireless Hooksett ISO Gear Redesign RFP Development,Design
Verizon Wireless,Hooksett MSC Switchgear Replace,Verizon Wireless Hooksett MSC Switchgear Replace,Design
Verizon Wireless,Hooksett MSI Services,Verizon Wireless Hooksett MSI Services,MSI
Verizon Wireless,Hooksett Office Design,Verizon Wireless Hooksett Office Design,Design
Verizon Wireless,Hooksett Power Operational Plan - CO,Verizon Wireless Hooksett Power Operational Plan - CO,"Other (Owner's Rep, Ops Support, etc.)"
Verizon Wireless,Idaho CRAN Audits,Verizon Wireless Idaho CRAN Audits,Audit
Verizon Wireless,"Imclone Road, Branchburg Design","Verizon Wireless Imclone Road, Branchburg Design",Design
Verizon Wireless,INKY-EVMSC-Telco Rm HVAC Upgrade ,Verizon Wireless INKY-EVMSC-Telco Rm HVAC Upgrade ,Design
Verizon Wireless,INKY-GNMSC-CRAC upgrade,Verizon Wireless INKY-GNMSC-CRAC upgrade,Design
Verizon Wireless,INKY-WSMSC DACs&DCPR RM HVAC UPG (Westside CRAC Upgrade),Verizon Wireless INKY-WSMSC DACs&DCPR RM HVAC UPG (Westside CRAC Upgrade),Design
Verizon Wireless,Jacksonville NDIR386 Audit,Verizon Wireless Jacksonville NDIR386 Audit,Audit
Verizon Wireless,Jax and Orlando Cx ,Verizon Wireless Jax and Orlando Cx ,Cx
Verizon Wireless,Jersey City - HVAC Hardening,Verizon Wireless Jersey City - HVAC Hardening,Design
Verizon Wireless,"Jersey City, NJ HVAC & Mods & BAS (Rubicon)","Verizon Wireless Jersey City, NJ HVAC & Mods & BAS (Rubicon)",MSI
Verizon Wireless,"Johnston, PA - MSC A&E SDN Prep","Verizon Wireless Johnston, PA - MSC A&E SDN Prep",Design
Verizon Wireless,Johnstown SDN Prep - Construction PM Svc,Verizon Wireless Johnstown SDN Prep - Construction PM Svc,"Other (Owner's Rep, Ops Support, etc.)"
Verizon Wireless,"Kearns, UT Audit","Verizon Wireless Kearns, UT Audit",Audit
Verizon Wireless,"Knoxville, TN MTSO CRAN Survey","Verizon Wireless Knoxville, TN MTSO CRAN Survey",Audit
